Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,castor.castor_0,castor.castor_1,castor.castor_2,castor.castor_3,segway.segway_0,segway.segway_1,segway.segway_2,segway.segway_3
1669927714.7009168,119,1669927714,700471401,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.7107322,120,1669927714,710416793,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.7208726,121,1669927714,720450162,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.7312865,122,1669927714,730583190,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.741379,123,1669927714,740792751,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.7510478,124,1669927714,750632524,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.7607203,125,1669927714,760423183,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.7709277,126,1669927714,770490407,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.780648,127,1669927714,780481100,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.7910335,128,1669927714,790671110,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.8008397,129,1669927714,800429344,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.810701,130,1669927714,810400962,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.8209524,131,1669927714,820403814,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.8315809,132,1669927714,830475807,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.8412683,133,1669927714,840715408,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.851021,134,1669927714,850568532,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.8609178,135,1669927714,860592603,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.8708155,136,1669927714,870427370,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.8807037,137,1669927714,880454063,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.8908947,138,1669927714,890474557,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.9007554,139,1669927714,900441169,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.910667,140,1669927714,910449504,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.9205909,141,1669927714,920396804,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.9311314,142,1669927714,930487632,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.940674,143,1669927714,940425872,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.950616,144,1669927714,950399398,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.9606779,145,1669927714,960412502,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.970881,146,1669927714,970457315,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
